epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.756,0.66064,1.70042,0.97105,0.91467,0.57222,0.71167,0.58421,0.7026,2.23543,0.93663,0.000549052,0.000549052,0.000549052
2,497.225,0.66105,1.08881,0.9627,0.87602,0.82832,0.90256,0.75524,0.60599,1.2133,0.88137,0.000885984,0.000885984,0.000885984
3,735.809,0.68203,0.93778,0.95739,0.87201,0.83686,0.89463,0.74627,0.60067,1.15104,0.87869,0.00100287,0.00100287,0.00100287
4,972.695,0.59854,0.78136,0.93349,0.92828,0.89523,0.93656,0.78813,0.53408,0.76609,0.85935,0.000676802,0.000676802,0.000676802
5,1211.21,0.54714,0.66929,0.91599,0.94351,0.92686,0.95893,0.82699,0.44146,0.62148,0.82099,0.000346736,0.000346736,0.000346736
